;dev-salesftp-01.dev.etr.eastbanctech.ru;192.168.150.160;Windows Server 2016 Standard;98%;21.03.2023 17:18
;dev-slb-build-1.dev.etr.eastbanctech.ru;192.168.152.183;Windows Server 2016 Standard;98%;22.03.2023 0:57
;notebook-labutin.etr.eastbanctech.ru;192.168.152.141;Windows 10 Enterprise;98%;22.03.2023 10:13
;dev-adfs-2016.dev.etr.eastbanctech.ru;192.168.154.31;Windows Server 2016 Standard;98%;22.03.2023 10:50
;etr-host-07.etr.eastbanctech.ru;192.168.150.63;Windows Server 2019 Standard;98%;21.03.2023 18:51
;goryakin.etr.eastbanctech.ru;192.168.152.144;Windows 10 Enterprise;99%;22.03.2023 13:01
;notebook-vinichenko.etr.eastbanctech.ru;192.168.159.46;Windows 10 Enterprise;98%;21.03.2023 10:30
;te-avp-01.etr.eastbanctech.ru;192.168.150.158;Windows Server 2019 Standard;99%;21.03.2023 19:08
;dev-sql-node-01.dev.etr.eastbanctech.ru;192.168.152.82;Windows Server 2019 Standard;99%;22.03.2023 12:57
;dev-sql-node-02.dev.etr.eastbanctech.ru;192.168.154.29;Windows Server 2019 Standard;98%;21.03.2023 17:00
;te-confl-01.etr.eastbanctech.ru;192.168.158.167;Windows Server 2019 Standard;98%;21.03.2023 15:34
;etr-vpn-04.etr.eastbanctech.ru;192.168.152.5;Windows Server 2019 Standard;99%;22.03.2023 13:13
;dronov.etr.eastbanctech.ru;192.168.154.90;Windows 10 Enterprise;99%;22.03.2023 12:21
;budarnykh.etr.eastbanctech.ru;192.168.152.232;Windows 10 Enterprise;99%;22.03.2023 10:24
;secret.etr.eastbanctech.ru;192.168.154.214;Windows 10 Enterprise;99%;22.03.2023 10:44
;gorin.etr.eastbanctech.ru;192.168.158.186;Windows 10 Enterprise;98%;21.03.2023 9:08
;karaseva.etr.eastbanctech.ru;192.168.152.96;Windows 10 Enterprise;98%;22.03.2023 10:19
;notebook-avdeev.etr.eastbanctech.ru;192.168.159.18;Windows 10 Pro;98%;22.03.2023 9:23
;zaikin.etr.eastbanctech.ru;192.168.154.47;Windows 10 Enterprise;98%;22.03.2023 8:41
;notebook-snopkov.etr.eastbanctech.ru;192.168.159.15;Windows 10 Enterprise;98%;17.03.2023 8:29
;notebook-danilin.etr.eastbanctech.ru;192.168.159.58;Windows 10 Enterprise;99%;22.03.2023 11:23
;batalova.etr.eastbanctech.ru;192.168.154.38;Windows 10 Enterprise;99%;22.03.2023 13:30
;gulai.etr.eastbanctech.ru;192.168.154.128;Windows 10 Enterprise;99%;22.03.2023 9:33
;notebook-turchinovich.etr.eastbanctech.ru;192.168.159.66;Windows 10 Enterprise;98%;21.03.2023 13:18
;notebook-kuznetsov.etr.eastbanctech.ru;192.168.159.55;Windows 10 Enterprise;99%;16.03.2023 11:46
;lopatkin.etr.eastbanctech.ru;192.168.154.72;Windows 10 Enterprise;99%;22.03.2023 11:45
;ranneva.etr.eastbanctech.ru;192.168.154.74;Windows 10 Enterprise;99%;22.03.2023 10:29
;simonenko.etr.eastbanctech.ru;192.168.154.129;Windows 10 Pro;99%;22.03.2023 10:35
;lisitsyn.etr.eastbanctech.ru;192.168.154.189;Windows 10 Enterprise;99%;22.03.2023 11:32
;notebook-astahova.etr.eastbanctech.ru;192.168.152.30;Windows 10 Enterprise;99%;21.03.2023 19:08
;ershov.etr.eastbanctech.ru;192.168.152.69;Windows 10 Enterprise;99%;21.03.2023 19:08
;te-build-12.dev.etr.eastbanctech.ru;192.168.150.180;Windows Server 2019 Standard;98%;22.03.2023 10:34
;adushev.etr.eastbanctech.ru;192.168.154.223;Windows 10 Enterprise;99%;22.03.2023 8:25
;te-tfs-10.etr.eastbanctech.ru;192.168.158.172;Windows Server 2019 Standard;98%;22.03.2023 5:01
;te-sync-03.etr.eastbanctech.ru;192.168.158.159;Windows Server 2019 Standard;98%;21.03.2023 15:28
;te-build-11.dev.etr.eastbanctech.ru;192.168.150.187;Windows Server 2019 Standard;98%;22.03.2023 5:13
;s7-dev-uikit-04.dev.etr.eastbanctech.ru;192.168.158.182;Windows Server 2019 Standard;98%;21.03.2023 17:15
;srazhevskaya.etr.eastbanctech.ru;192.168.154.169;Windows 10 Enterprise;99%;22.03.2023 8:02
;notebook-egaidar.etr.eastbanctech.ru;192.168.154.163;Windows 10 Enterprise;98%;20.03.2023 8:47
;dev-dc-02.dev.etr.eastbanctech.ru;192.168.158.5;Windows Server 2019 Standard;99%;22.03.2023 9:56
;notebook-khairulina.etr.eastbanctech.ru;192.168.154.39;Windows 10 Enterprise;98%;21.03.2023 19:08
;notebook-zelenets.etr.eastbanctech.ru;192.168.159.139;Windows 10 Enterprise;98%;21.03.2023 11:30
;notebook-valov.etr.eastbanctech.ru;192.168.152.74;Windows 10 Enterprise;99%;22.03.2023 9:13
;notebook-yakovlev.etr.eastbanctech.ru;192.168.152.39;Windows 10 Enterprise;99%;22.03.2023 12:05
;iakobson.etr.eastbanctech.ru;192.168.152.105;Windows 10 Enterprise;99%;22.03.2023 10:11
;dev-dc-01.dev.etr.eastbanctech.ru;192.168.158.4;Windows Server 2019 Standard;98%;22.03.2023 11:40
;dev-jira-03.dev.etr.eastbanctech.ru;192.168.153.91;Windows Server 2019 Standard;98%;21.03.2023 17:34
;dev-olap-01.dev.etr.eastbanctech.ru;192.168.150.168;Windows Server 2016 Standard;98%;22.03.2023 12:38
;dev-slb-ppm-02.dev.etr.eastbanctech.ru;192.168.154.95;Windows Server 2016 Standard;98%;22.03.2023 5:28
;mikhailovskaia.etr.eastbanctech.ru;192.168.152.47;Windows 10 Enterprise;99%;22.03.2023 5:27
;etr-host-08.etr.eastbanctech.ru;192.168.150.120;Windows Server 2019 Standard;98%;21.03.2023 18:46
;etr-avp-01.etr.eastbanctech.ru;192.168.150.81;Windows Server 2019 Standard;98%;21.03.2023 19:08
;etr-host-06.etr.eastbanctech.ru;192.168.150.122;Windows Server 2019 Standard;99%;22.03.2023 13:26
;etr-port-sup-01.etr.eastbanctech.ru;192.168.158.144;Windows Server 2019 Standard;98%;21.03.2023 18:59
;etr-host-04.etr.eastbanctech.ru;192.168.150.78;Windows Server 2019 Standard;98%;21.03.2023 14:48
;etr-olap-02.etr.eastbanctech.ru;192.168.152.223;Windows Server 2016 Standard;98%;22.03.2023 6:16
;notebook-ocheretinskaya.etr.eastbanctech.ru;192.168.159.11;Windows 10 Enterprise;98%;22.03.2023 8:57
;etr-scvmm-01.etr.eastbanctech.ru;192.168.158.143;Windows Server 2019 Standard;98%;21.03.2023 17:51
;dev-host-02.etr.eastbanctech.ru;192.168.150.14;Windows Server 2019 Standard;98%;22.03.2023 1:39
;etr-host-01.etr.eastbanctech.ru;192.168.150.174;Windows Server 2019 Standard;98%;21.03.2023 15:06
;dev-host-01.etr.eastbanctech.ru;192.168.150.8;Windows Server 2019 Standard;98%;22.03.2023 1:30
;etr-project-01.etr.eastbanctech.ru;192.168.154.33;Windows Server 2012 R2;97%;21.03.2023 22:01
;notebook-popov.etr.eastbanctech.ru;192.168.152.26;Windows 10 Enterprise;99%;20.03.2023 9:42
;chepaikin.etr.eastbanctech.ru;192.168.154.57;Windows 10 Enterprise;99%;22.03.2023 11:12
;kolesnikova.etr.eastbanctech.ru;192.168.152.139;Windows 10 Enterprise;99%;21.03.2023 19:08
;etr-host-05.etr.eastbanctech.ru;192.168.150.121;Windows Server 2019 Standard;98%;22.03.2023 11:17
;agatitckiy.etr.eastbanctech.ru;192.168.152.192;Windows 10 Enterprise;98%;22.03.2023 5:09
;zheleznova.etr.eastbanctech.ru;192.168.152.150;Windows 10 Enterprise;99%;22.03.2023 11:39
;notebook-sharapov.etr.eastbanctech.ru;192.168.152.168;Windows 10 Enterprise;99%;22.03.2023 11:37
;kolesnikov.etr.eastbanctech.ru;192.168.154.13;Windows 10 Enterprise;99%;22.03.2023 10:07
;etr-host-02.etr.eastbanctech.ru;192.168.150.71;Windows Server 2019 Standard;98%;22.03.2023 10:53
;etr-video-03.etr.eastbanctech.ru;192.168.158.100;Windows Server 2019 Standard;98%;21.03.2023 14:38
;etr-print-01.etr.eastbanctech.ru;192.168.158.189;Windows Server 2019 Standard;98%;21.03.2023 15:43
;savkin.etr.eastbanctech.ru;192.168.154.178;Windows 10 Enterprise;99%;16.03.2023 1:26
;notebook-zateeva.etr.eastbanctech.ru;192.168.159.48;Windows 10 Enterprise;98%;17.03.2023 16:30
;notebook-grishkin.etr.eastbanctech.ru;192.168.154.144;Windows 10 Enterprise;99%;22.03.2023 13:14
;labutin.etr.eastbanctech.ru;192.168.152.45;Windows 10 Enterprise;99%;22.03.2023 9:52
;etr-alink-01.etr.eastbanctech.ru;192.168.154.207;Windows Server 2016 Standard;98%;21.03.2023 12:47
;ignatenko.etr.eastbanctech.ru;192.168.152.44;Windows 10 Enterprise;99%;15.03.2023 20:52
;dev-vacation-01.etr.eastbanctech.ru;192.168.154.49;Windows Server 2012 R2;98%;22.03.2023 9:43
;etr-tfs-06.etr.eastbanctech.ru;192.168.150.166;Windows Server 2016 Standard;98%;21.03.2023 14:36
;notebook-sannikov.etr.eastbanctech.ru;192.168.154.165;Windows 10 Enterprise;98%;21.03.2023 12:36
;etr-host-03.etr.eastbanctech.ru;192.168.150.159;Windows Server 2019 Standard;98%;21.03.2023 20:13
;farkhutdinov.etr.eastbanctech.ru;192.168.152.195;Windows 10 Enterprise;99%;22.03.2023 9:00
;petuhov.etr.eastbanctech.ru;192.168.154.37;Windows 10 Enterprise;99%;22.03.2023 12:01
