"Name","StatusString","Owner","HostName","OperatingSystem","CPUCount","Memory","TotalSize","Version","VMCheckpoints"
"etr-runner-05","Running","ETR\e.paraga","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","28","32768","1081568395264","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-elk-02","Running","ETR\e.paraga","etr-host-05.etr.eastbanctech.ru","Other Linux (64 bit)","8","16384","116375158784","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-db-03","Running","ETR\a.kubyshkin","etr-host-02.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","8","20480","2523372978688","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-01","Running","ETR\a.kubyshkin","etr-host-05.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","20841496576","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-scs-log-01","Stopped","ETR\y.grishkin","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","8","9216","138957291520","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-portal-support-01","Running","ETR\g.sidorov","etr-host-06.etr.eastbanctech.ru","Windows Server 2019 Standard","8","6144","52651098112","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-k8s-05","Running","ETR\e.paraga","etr-host-04.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","49769611264","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-vpn-04","Running","ETR\d.khromenko","etr-host-01.etr.eastbanctech.ru","Windows Server 2019 Standard","4","4096","28726788096","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-sql03-test","Running","ETR\v.trofimovich","etr-host-06.etr.eastbanctech.ru","Windows Server 2019 Standard","4","12288","49228546048","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-k8s-02","Stopped","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","12","32768","53057945600","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-runner-09","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","28","32768","323036905472","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-05","Running","ETR\a.kubyshkin","etr-host-03.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","16","40960","41611689984","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-k8s-01","Running","ETR\e.paraga","etr-host-05.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","31276924928","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-salesftp-01","Running","ETR\g.sidorov","etr-host-02.etr.eastbanctech.ru","Windows Server 2016 Standard","8","4096","38289801216","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-minio-03","Running","ETR\e.paraga","etr-host-02.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","45474643968","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-te-k8s-02","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","49769611264","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-k8s-05","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","52051312640","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-salesplanner-02","Stopped","ETR\y.grishkin","dev-host-02.etr.eastbanctech.ru","Unknown","4","2048","26650607616","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-build-11","Running","ETR\v.trofimovich","etr-host-14.etr.eastbanctech.ru","Windows Server 2019 Standard","8","4096","81944117248","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-nfs-01","Running","ETR\e.paraga","etr-host-04.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","143453585408","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-k8s-04","Running","ETR\e.paraga","etr-host-04.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","20","36864","73152856064","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-slb-elk-01","Stopped","ETR\y.grishkin","dev-host-02.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","31612469760","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-ebt-02","Running","ETR\g.sidorov","etr-host-02.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","2048","64193822720","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-sigma-k8s-04","Running","ETR\a.kubyshkin","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","16","40960","41074819072","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-k8s-03","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","20","36864","74293706752","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"s7-sec-test","Stopped","ETR\v.trofimovich","dev-host-02.etr.eastbanctech.ru","Windows Server 2019 Standard","4","4096","39799750656","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
